name,code,Date,Total confirmed deaths (deaths),cases
Afghanistan,AFG,"Apr 17, 2020",29,794
Africa,,"Apr 17, 2020",965,18329
Albania,ALB,"Apr 17, 2020",26,518
Algeria,DZA,"Apr 17, 2020",348,2268
Andorra,AND,"Apr 17, 2020",33,682
Angola,AGO,"Apr 17, 2020",2,19
Anguilla,AIA,"Apr 17, 2020",0,3
Antigua and Barbuda,ATG,"Apr 17, 2020",2,23
Argentina,ARG,"Apr 17, 2020",115,2560
Armenia,ARM,"Apr 17, 2020",19,1201
Aruba,ABW,"Apr 17, 2020",1,95
Australia,AUS,"Apr 17, 2020",63,6497
Austria,AUT,"Apr 17, 2020",410,14448
Azerbaijan,AZE,"Apr 17, 2020",15,1283
Bahamas,BHS,"Apr 17, 2020",9,54
Bahrain,BHR,"Apr 17, 2020",7,1700
Bangladesh,BGD,"Apr 17, 2020",60,1572
Barbados,BRB,"Apr 17, 2020",5,75
Belarus,BLR,"Apr 17, 2020",40,4204
Belgium,BEL,"Apr 17, 2020",4857,34809
Belize,BLZ,"Apr 17, 2020",2,18
Benin,BEN,"Apr 17, 2020",1,37
Bermuda,BMU,"Apr 17, 2020",5,83
Bhutan,BTN,"Apr 17, 2020",0,5
Bolivia,BOL,"Apr 17, 2020",31,465
Bonaire Sint Eustatius and Saba,BES,"Apr 17, 2020",0,4
Bosnia and Herzegovina,BIH,"Apr 17, 2020",41,1152
Botswana,BWA,"Apr 17, 2020",1,15
Brazil,BRA,"Apr 17, 2020",1924,30425
British Virgin Islands,VGB,"Apr 17, 2020",0,3
Brunei,BRN,"Apr 17, 2020",1,136
Bulgaria,BGR,"Apr 17, 2020",38,800
Burkina Faso,BFA,"Apr 17, 2020",32,543
Burundi,BDI,"Apr 17, 2020",1,5
Cambodia,KHM,"Apr 17, 2020",0,122
Cameroon,CMR,"Apr 17, 2020",21,855
Canada,CAN,"Apr 17, 2020",1193,30081
Cape Verde,CPV,"Apr 17, 2020",1,55
Cayman Islands,CYM,"Apr 17, 2020",1,61
Central African Republic,CAF,"Apr 17, 2020",0,12
Chad,TCD,"Apr 17, 2020",0,27
Chile,CHL,"Apr 17, 2020",105,8807
China,CHN,"Apr 17, 2020",4636,83754
Colombia,COL,"Apr 17, 2020",144,3233
Congo,COG,"Apr 17, 2020",5,117
Costa Rica,CRI,"Apr 17, 2020",4,642
Cote d'Ivoire,CIV,"Apr 17, 2020",6,688
Croatia,HRV,"Apr 17, 2020",35,1791
Cuba,CUB,"Apr 17, 2020",27,862
Curacao,CUW,"Apr 17, 2020",1,14
Cyprus,CYP,"Apr 17, 2020",17,735
Czech Republic,CZE,"Apr 17, 2020",169,6433
Democratic Republic of Congo,COD,"Apr 17, 2020",23,287
Denmark,DNK,"Apr 17, 2020",321,6879
Djibouti,DJI,"Apr 17, 2020",2,591
Dominica,DMA,"Apr 17, 2020",0,16
Dominican Republic,DOM,"Apr 17, 2020",196,3755
Ecuador,ECU,"Apr 17, 2020",403,8225
Egypt,EGY,"Apr 17, 2020",196,2673
El Salvador,SLV,"Apr 17, 2020",6,164
Equatorial Guinea,GNQ,"Apr 17, 2020",0,51
Eritrea,ERI,"Apr 17, 2020",0,35
Estonia,EST,"Apr 17, 2020",36,1434
Ethiopia,ETH,"Apr 17, 2020",3,92
Faeroe Islands,FRO,"Apr 17, 2020",0,184
Falkland Islands,FLK,"Apr 17, 2020",0,11
Fiji,FJI,"Apr 17, 2020",0,17
Finland,FIN,"Apr 17, 2020",75,3369
France,FRA,"Apr 17, 2020",17920,108847
French Polynesia,PYF,"Apr 17, 2020",0,55
Gabon,GAB,"Apr 17, 2020",1,95
Gambia,GMB,"Apr 17, 2020",1,9
Georgia,GEO,"Apr 17, 2020",3,348
Germany,DEU,"Apr 17, 2020",3868,133830
Ghana,GHA,"Apr 17, 2020",8,641
Gibraltar,GIB,"Apr 17, 2020",4,133
Greece,GRC,"Apr 17, 2020",105,2207
Greenland,GRL,"Apr 17, 2020",0,11
Grenada,GRD,"Apr 17, 2020",0,14
Guam,GUM,"Apr 17, 2020",5,135
Guatemala,GTM,"Apr 17, 2020",7,214
Guernsey,GGY,"Apr 17, 2020",9,234
Guinea,GIN,"Apr 17, 2020",1,438
Guinea-Bissau,GNB,"Apr 17, 2020",0,46
Guyana,GUY,"Apr 17, 2020",6,57
Haiti,HTI,"Apr 17, 2020",3,43
Hungary,HUN,"Apr 17, 2020",156,1763
Iceland,ISL,"Apr 17, 2020",8,1739
India,IND,"Apr 17, 2020",437,13387
Indonesia,IDN,"Apr 17, 2020",496,5516
Iran,IRN,"Apr 17, 2020",4869,77995
Iraq,IRQ,"Apr 17, 2020",80,1434
Ireland,IRL,"Apr 17, 2020",486,13271
Isle of Man,IMN,"Apr 17, 2020",4,284
Israel,ISR,"Apr 17, 2020",142,12758
Italy,ITA,"Apr 17, 2020",22172,168941
Jamaica,JAM,"Apr 17, 2020",5,143
Japan,JPN,"Apr 17, 2020",148,9167
Jersey,JEY,"Apr 17, 2020",10,223
Jordan,JOR,"Apr 17, 2020",7,402
Kazakhstan,KAZ,"Apr 17, 2020",17,1470
Kenya,KEN,"Apr 17, 2020",11,234
Kosovo,OWID_KOS,"Apr 17, 2020",11,449
Kuwait,KWT,"Apr 17, 2020",3,1524
Kyrgyzstan,KGZ,"Apr 17, 2020",5,489
